Concatenar;FipeID;VehicleModelYear;BrandName;VehicleName;Abreviação de descrição;Model id;ADAS;Opcional Parabrisa;ADAS no Parabrisa;Opcional Parachoque;Adas no Parachoque;Tipo de Regulagem;Camera no Retrovisor;Faróis Matrix;Secao;Sub-secao;Argiccode;Descrição;Marca OEM;Marca Reposição;Partnumber;Cod Fuyao
925842023;92584;2023;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842022;92584;2022;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842021;92584;2021;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
925842020;92584;2020;BMW;118i Sport 1.5 TB 12V Aut. 5p;118i Sport;2496;Sim;;Não;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;2496AGAMVZ;BMW SERIE 1 20/ON - PARABRISA ACUSTICO C/SUP P/SENSOR UMID C/ENCAPS;Carlex;Analisar;51317463721;Analisar
8302402025;830240;2025;RAM;1500 LARAM. NIGHT ED. BI-TB 3.0 4x4 Aut.;1500 LARAM. NIGHT ED;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMUZ1L;DODGE RAM 1500 25/ON - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD (ALTERACAO NO SAIDA DE FAIXA FECHADO);Analisar;Analisar;K68594936AA;Analisar
8302592025;830259;2025;RAM;1500 LARAMIE 3.0 CD BI-TB 4x4 Aut.;1500 LARAMIE 3.0 CD;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMUZ1L;DODGE RAM 1500 25/ON - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD (ALTERACAO NO SAIDA DE FAIXA FECHADO);Analisar;Analisar;K68594936AA;Analisar
8301432022;830143;2022;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8301432023;830143;2023;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8301432024;830143;2024;RAM;1500 LIMITED 5.7 CD 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8301352024;830135;2024;RAM;1500 LIMITED NIGHT EDITION 5.7 4x4 Aut.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8301352023;830135;2023;RAM;1500 LIMITED NIGHT EDITION 5.7 4X4 AUT.;1500 Limited;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMU;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/ HUD;Analisar;Analisar;K68451039AA;DW02677
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS DIR;9203RGNP4RD;DODGE RAM 1500 21/ON - VID PT TRAS DIR VERDE;Analisar;Analisar;Analisar;Analisar
8300462024;830046;2024;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462023;830046;2023;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMO;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/SENSOR DE DESEMB;Analisar;Analisar;K68275585AG;DW02454
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;PARABRISA;9203AGACMO;DODGE RAM 1500 REBEL 21/24 - PARABRISA ACUSTICO C/AVISO SAIDA DE FAIXA C/SUP P/SENSOR UMID C/SENSOR DE DESEMB;Analisar;Analisar;K68275585AG;DW02454
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;FAROL DIREITO;920321FPMNFLACLD;DODGE RAM 1500 REBEL 21/24 - FAROL PRINC DIR C/MASC NEGRA FULL LED C/ AMBAR C/FRISO CROMADO;Analisar;Analisar;K68316088AH;Acessorios
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;FAROL DIREITO;920321FPMNFLACLD;DODGE RAM 1500 REBEL 21/24 - FAROL PRINC DIR C/MASC NEGRA FULL LED C/ AMBAR C/FRISO CROMADO;Analisar;Analisar;K68316088AH;Acessorios
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;FAROL ESQUERDO;920321FPPMNFLACLE;DODGE RAM 1500 REBEL 21/24 - FAROL PRINC ESQ C/MASC NEGRA FULL LED C/ AMBAR C/FRISO CROMADO;Analisar;Analisar;K68316089AH;Acessorios
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;FAROL ESQUERDO;920321FPPMNFLACLE;DODGE RAM 1500 REBEL 21/24 - FAROL PRINC ESQ C/MASC NEGRA FULL LED C/ AMBAR C/FRISO CROMADO;Analisar;Analisar;K68316089AH;Acessorios
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;LANTERNA TRAS DIR LATERAL;920321LTFLLD;DODGE RAM 1500 21/24 - LANTERNA TRAS DIR FUME NO NOME RAM C/LED;Analisar;Analisar;68262532AH;Acessorios
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;LANTERNA TRAS DIR LATERAL;920321LTFLLD;DODGE RAM 1500 21/24 - LANTERNA TRAS DIR FUME NO NOME RAM C/LED;Analisar;Analisar;68262532AH;Acessorios
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;LANTERNA TRAS ESQ LATERAL;920321LTFLLE;DODGE RAM 1500 21/24 - LANTERNA TRAS ESQ FUME NO NOME RAM C/LED;Analisar;Analisar;68262533AH;Acessorios
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Acessórios;LANTERNA TRAS ESQ LATERAL;920321LTFLLE;DODGE RAM 1500 21/24 - LANTERNA TRAS ESQ FUME NO NOME RAM C/LED;Analisar;Analisar;68262533AH;Acessorios
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VIGIA;9203BGNPSUZPW;DODGE RAM 1500 21/ON - VIGIA (CORREDIÇO) C/ENCAPS C/ MOTOR ELETRICO;Analisar;Analisar;K68335723A;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN ESQ;9203LGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT ESQ ACUSTICO LAMINADO;Analisar;Analisar;Analisar;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT TRAS ESQ;9203LGAP2RDK;DODGE RAM 1500 21/ON - VID PT TRAS ESQ VERDE;Analisar;Analisar;Analisar;Analisar
8300462022;830046;2022;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
8300462021;830046;2021;RAM;1500 REBEL 5.7 HEMI CD V8 4x4 Aut.;1500 Rebel;9203;Sim;;Sim;;Sim;Dinamica;Não;Não;Vidros;VID LAT DIAN DIR;9203RGAP2FDK;DODGE RAM 1500 21/ON - VID PT DIANT DIR ACUSTICO LAMINADO;Analisar;Analisar;K68276778AC;Analisar
